,Comment
289,Shame on Delhi police for treating them this way.. They are not criminals itna strict criminals k sath hote toh better hota humare lye.. Kitni aawazein daboge aur kab tak.. Ek ko uthane k lye 8-10 log laga rakhe hain chhiii.. Force itni rapist ko utha kr jail mein daalne mein laga dete.. Sportsman hain they deserve respect... 😑😕
290,Shame shame shame on Delhi police and bjp
291,Pura desh sirf hindu muslim krte raho inki taraf dhyan mt do koi
292,What is this nonsense they are our proud....
293,This is the reality of our country 😭😭😭
294,Modi Modi modi modi modi modi 😂😂😂😂😂
295,Aise bachate hai betiyo ko pm ji.          Beti bachao beti padao all was useless Modi ji
296,Pathetic
297,Mujhe lagta ha yeh sports person bhi khalistani ha  hme toh terrorist bana diya jab punjab k log protest karne aae the .  Hindu sach me khatre me ha.🙏🙏
298,Shame on modis govt 😢
299,It's not going to sports person she and he was doing hard work for our country I support him because I am also a sports person
300,Shame on bjp
301,What is happening PM sir it sends wrong signal
302,What the f* is happening man....They are respected sportsman of India....You can't treat them like that. Shame on our Indian police and Government.
303,"हाक़िम को इक चिठी लिखो सब के सब, लिखना सिर्फ इतना के ""लानत है """
304,Dogs are beter ..... Shame on u ......😢😢😢😢
305,"These Wrestlers have no shame,put them in jail"
306,These wrestlers have no shame
307,What can be done?
308,Very much shameful on BJP salute to our wrestlers
309,"Shame on bjp and our country 😮😮
Tum wrestler's Russia ke side se ladna next time se .....(my heart)😂😂 ❤❤"
310,now say that PAKISTAN IS FATHER OF INDIA 🇵🇰💪🇵🇰💪😡
311,Jaise chintiyan apna bhojan leke jaari hoti hain😁😂
312,That's why a third world country remains a third world country and never gets the opportunity to win gold medal. Shame on pm of india.
313,BJP andhvatkt avi khush ho vai....dekho desh ko kaha khara kar diye tum log
314,Chinta mat karo yeh din  uska bhi ayegaaa
315,These corrupt politician and police are exploiting the country and good people . I wish all politician try to become like yogi Aditya Nath.
316,Use ledka ne pakad rakha tha uske upper case Kiya jae please
317,"I never felt same on being myself Indian, today i did."
318,Woww
319,How shame ......
320,Shameful and feeling regret over being an Indian   no other words can come into my mind.
321,Shame on u Delhi government
322,Shame on you bjp nd Delhi police
323,😠😠😠😠😠
324,This is big shame
325,Shame on My honorable dogla BJP
326,Same on Delhi police and BJP
327,Ek sher k sath hazaro gidar !
328,BJP ne aplya matichi ...aplya deshachi vat lavayla suruwat Keliye..shame on BJP and Delhi police.. shame on you...
329,Sports man Jo Desh ke liye medal late hai unse aise behave aise karoge to medal layenge kuch nahi  leke aayenge 👿👿👿👿👿
330,Shame The police and shame our Govt
331,Justice for wrestlers🙌
332,Jago indians saath aao bjp hatao
333,Dande Lagane Chahiye the Bina Permission ke protest Karoge to yahi hoga 😂🤣🤡
334,What govt is doing don't know aise case me govt gayab hi ho jati hai
335,Shamefull 😔
336,लालत है ऐसी सरकार पर
337,Bloody rascals delhi police..and also brij bhooshan....
338,Mera bhi
339,Very very shame India and rulingvparty BJP
340,These wrestlers are now using their medals to blackmail the govt... What a shame.
341,Shame on police and BJP Government
342,Sona chik✨
343,I felt so bad watching this..This is not what our laurels deserve..they are our pride and watching them in this condition on road is a shame for us !
344,BJP Govt👎👎👎
345,Modi ka time pura ho gya hai use ab Jana hoga....
346,😂hahahahaahaha
347,Shame on Delhi police and BJP 🤬😡
348,This is just a beginning. Believe me no one is safe if there is no law and order and its almost distroyed in India. Wait for 5 more year.
349,"Desh ke liye medal laneke baadbhi ye milta hai kya?  
Congratulations champions for the treatment ! 
Lwogeeee ab medal India keliye?"
350,In our India  current judicial systems should be scrap because this only favorable ladies We need unbiased judicial systems Justice for men's also Good India future India is the best place
351,In our India we need unbiased judicial systems Unbiased police systems Unbiased political systems Unbiased election systems Unbiased media systems Good India future India is the best place to
352,Nowadays fake dowry case fraud rape case against men's increased enormously blackmailing for money to protect the honesty and dignity of our systems we need unbiased judicial systems Justice for men's also Good India future India is the best place
353,Ye nh dekiyga modi ka kutty bhrwa y haal h
354,Yai desh khtm h lg rha h yaha surbnas ho rha h din prtidin shrm aani chahiye k neta logo ko
355,Great bad player
356,I don't like police
357,I shame on i'm indian
358,Shame on modi desh me jha bhi BJP ki sarkar hai vha gribo girls ladies aur km smzne wali jat dharm k logo k sath aise hi bura brtav hota hai unka shoshn kiya jata hai aise me BJP k neta gunge behre  ho jate hai kisi dhongi sadhu ya neta pr jb bat aati hai to sb bhaukne lgte hai
359,Shame on the government of the government of delhi and shame on the police as well for 😡😡😡😡😠
360,😢
361,At this moment i felt shame as beign a india
362,Govt should shame on it
363,Salute to this news channel....literally no one is showing the protest....respect to the news channel ❤
364,Shame on you modi ji
365,Shame on you govt.
366,Koi mard nahi he kya dilli me itne din se ek atankwadi ko nahi pakar paye wo v brizbhushan jese
367,Wrestlers propaganda destroyed 👍👍👍
368,Ye he halat padak lene valoki
369,What is she getting arrested for?
370,Hopeless BJP  government
371,"Welcome to india under Modi. Where criminals roam free and the victim behind bars. Where corruption are encouraged and honest, faithful working people are put behind bars. Now treating champions who brought medals for india, who uplifted india in the face of world sports, who sacrificed so much n at the end harassed and dragged like this is such a shame. Shame on you Modi for allowing this to happen to our champions, shame on you for failing in manipur, shame on you for destroying india.. Step down... How could you do this to our country's pride, the champions.. They deserve to be treated with respect.. Oh why don't you step into the mat with them? Only than u will know how hard they worked for india unlike u."
372,Kya ho rha hai yr ye
373,If I post anything supporting bjp in this page congress war room is going to blast me for sure ! 😂😂 ....how many fake accounts gonna create my dear congress war room !
374,10 साल बृजभूषण का बिस्तर गरम करने के बाद...... अब मैडम को होश आया... कि अरे मेरा तो शोषण हो गया। अब मुझे जंतर-मंतर चलना चाहिए। 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
375,SHAME ON YOU MODI🤬🤬🤬🤬🤬🤬
376,What is this if it is happening for Olympic medal holders then think about normal people..god we don't why we are and what they are and how it could be but you know the fact🙏🙏🙏pls help😢
377,Gussa araha hai andar se 😢
378,Agar inke saath aisa bhi ho sakta hai to hum to hai hi kon😢😢
379,Shameless BJP shameless modi where you are culture
380,Desh yaad rakhega ye
381,"Please we need justice 😔🥺 shame on our government, I said we because it for all girls out their face sexual harrasment in our daily life ,"
382,Justice for athletes. This is toomuch. Support from kerala 👍🏻👍🏻
383,King Modi Vs. Democracy.
384,😂😂😂 India
385,Bjp☕
386,Shame on those who had made the comment without knowing the facts. Before commenting on any of our national issue. Pls pls pls check the facts don’t believe in all the videos. Check the police enquiry facts and comment. You are on social media. Not on private network.
387,I'm shocked to see this kind of activities by the security forces. The wrestlers are pride of our country. They deserve to get a minimum respect. What will be the idea about our sportsmen in the international level?
388,I'm shocked to see this kind of activities by the security forces. The wrestlers are pride of our country. They deserve to get a minimum respect. What will be the idea about our sportsmen in the international level?
389,Modi murdabad Full support to our wrestlers jai hind 🇮🇳🇮🇳🇮🇳
390,Nautangki wala police
391,Death of democracy.
392,Sab kuch bahut galat ho rha hai
393,Low cast police
394,Not cool police are criminals in uniform
395,Harami log
396,Those who are saying shame on you govt... They shuld face with mirrors with shame for  being a part of anti India toolkit...  I dont support harasment.. but is that a way??? If dont have faith in court go to khap panchayat or talibans court...
397,"They need justice.... 
But no need of judiciary...
Now days roads are place of justice...peoples are judges....
Whatsup, facebook, insta's are public prociquiter...😅😅😂😂😂😂and  secularist, leftist, separatist are cheerleaders...🤐🤐🤐🤐"
398,"If we sit on road for justice.... Then what is the propose of court, lawer, judiciary... These systems must shut down... Now we make protest on roads for justice..

Before they struggle for Indias supremacy .... Now they struggle for Indias defamation... #toolkit"
399,I heat my country. India hai hai.BJP hai hai😭😭😭
400,Ek ladki ne pura police ki group ko thaka Diya .. Keisha laga..
401,Fuking India
402,Court me jawo didi raste pe baith k kya hoga
403,"wrestler aur brijbhusan dono chizon ko kharab karre hai.. seriously aur isko gandha karri hai congress
1-wrestler ki demand thi bhushan ko presidency se hatao jiske liye committee bani jisme marry com,PT Usha an all ki committee vo ispe investigate kar rahi thi
2- deman change huyi ki isko jail me dalo inhone inhone n charge sheet lagai 154 crpc ye direct supreme court gaye court bola apko 154 lagana padega then inhone 154 lagayi uske baad inka kehna hai jaldi se jaldi isko saja
 it's a serious alligation aur investigation ke 90 days ka period hota hai to inko ruka nhi jara 
3- fir inhone political party ki aur andolan jeevi ko vaha gandagi machane deliya
  
ON THE OTHER SIDE
wrestling federation ka  President maximum 12 saal tk reh skta to brijbhushan ka to vo period over ho gya 

dusra sab khichadi bana rakhi jiska fayada ye vultures utha rahe 
agr galat huya hai to wrestlers ko justice milna chahiye aur wrestlers ko bhi ye political stunt nhi karna chahiye"
404,"This happen only in INDIA. This is how Women are always Treated in INDIA. First make FUN of them and if they Open up, Humiliate them like this."
405,"Shame on this where are the persons who always talk about achhe din...
Where is BJP spokesperson who always argues in news channels ."
406,🙏🙏🙏🙏😢😢😢😢😢
407,Thanks indianexprees for your courage of journalism..History will reward you in infinity….
408,"Modi gov nhi rhegi abh 
Agr modi ne apne bhrast netao ko nhi hataya to inki gov gyi"
409,BJP raj
410,jab players ki ijjat nagi to desh aage kaise badega
411,Modi bhagata ne hje v modi modi kri jana.....
412,Shame on our government
413,"In 2004 to 2014, when the public fought against the Congress Nirabiya women's sexual crime, they attacked more brutally than this.One thing that people have not understood since then till now is the fact that only that area is heavily guarded and no one is allowed to enter that area.Protesters will not be allowed there."
414,All are motherfuckers😂😂
415,Criminal caste obc Jaats are born thieves.
416,Police awle kese hain Jo apne baap ke sath asa bartav karta h
417,Shame…. Shame on police and government
418,Country of demons
419,"Meanwhile neeraj chopra sir be like : inko lardne do bhai ,,mai agle Olympics ki  tayaari krta 👍"
420,"So what would they do ? Can they protest anytime? Parliament inauguration day why are they going towards parliament? And illogical public also not understand that these wrestlers are doing politics...try to understand..basic simple things we need  to understand that we have a supreme court, we have a high court right? So why are they protesting like this? Fool public supporting this natak..."
421,😢
422,These are not wrestlers.....but puppets of political agenda....
423,🥺🥺🥺 duniya me sab ki ankhe नम हो रही इतना बुरा हाल
424,सरकार को यह सोचना चाहिए कि वह सही है या गलत यह भाड़ में जाए लेकिन यह सभी वह नामी पहलवान है जिन्होंने हमारे देश का नाम पूरे विश्व में किया है पूरा विश्व इन्हें जानता है क्या इस तरह का इनके साथ किया गया बर्ताव से पूरे विश्व के सामने हमारे देश की क्या छवि रहेगी
425,Bjp ko hata o desh bachao
426,😢
427,Manmohak drisya or do BJP ko vote ❎😠
428,Hai hai Bjp sarkar
429,This is India 👏👏👏👏
430,Same on indian system
431,"kaahe k pahalwaan bhai 
kyo itna nanga nach ncha rkha h 
Brijbhushan Nirdosh h"
432,"*Why is President of India who is a female is silent on this issue, WHY is she not speaking*"
433,"There're no common public, we r all special."
434,Modi ji... Yahi hai kya ache din? .. Please do something 🙏🏼
435,😢
436,I didn't have that much will power to see full video very shameful 😢
437,Mody should open his eyes what's going on against wrestlers. If its continue name of modi will be damage
438,শ্রী রামের দেশে  এটা কোন ব্যয়াপার না
439,Well  done respect  to our policewoman this are all sponsors  by PFI
440,Police are really worst
441,What is this about? Can someone give me some context?
442,Meri ma ki mati khabi jut nahi bolenge.😢
443,Are sharm kro BC police walo humare Desh ke support player h vo chutiya logo mana apni duty kre ho pr tumko saath dena chayiye Inka ulta Inka saath dena chahiye jo tum inko ghaseet rhe ho BC pgl ho kya
444,Shame on Government
445,"Gunda  agar dusri party ka ho to bjp ko wo hazam nhi hota air uspar action le te hai aur bjp apni party mai gundo ko pal rahi hai aur unko protect kar rahi hai 
Shame on bjp"
446,"A. Militant. Pm. Modi. 

   This. You 

    Make.  INDIA 

   Alls. Indian. Very. Hate 

     To. 

      You  pm. Modi 


      Godhra. Kand. By. You"
447,Aur do BJP ko vote
448,"Pm. Modi. A militant. PM

  Our. PM. List"
449,Satte cha maj janata utare modi sarakar
450,😓
451,"Inlog ne murder Kiya hai ky 
Modi jii 🙏🙏🙏"
452,Lion ... Loin hota hai
453,https://youtu.be/5IERR3BFpmA
454,https://youtu.be/5ierr3bfpma
455,https://youtu.be/5IERR3BFpmA
456,Same on government
457,I love BJP but iss baar thuu hai
458,Supported BJP. Ashamed today.
459,can anyone in this country talk about respect for women and safety of women?
460,A news koi tv news wala nahi dikya ..
461,😢 shame on government
462,This is India😂
463,"Wah kya din dikhadiye Modiji aapane toh, yahi neta agar congress ka hota toh, wrestlers agar commisioner ya neta ki beti hoti toh...naye Sansad ka inauguration jindagi bhar nahi bhulenge hum Bhartiya."
464,"Ein jaise police karamchariyon ki fitrat hoti hai badmashi karne ki ! Kal raat Lucknow mein mujhe sirf der raat apne ghar ki taraf jaate samay do bike patrol beat constables ne rok liya aur sandigdh suchi mein naam, pataa aur phone number likh liya, Ye hai YOGI ADITYANATH ka BJP Sushasan ! Jab wrestlers se misbehave kar sakte hain BJP sanchalit Delhi Police tab aam insaanon se too kya hee aise Police karmi ache se pesh ayenge ?!  Ek baar janta ki ankhon se BJP bhakti ki patti utar jaaye, Phir dekho kya haal karte hain ! Har Har Mahadev 🙏 , Lal Salaam 📣 !!"
465,Shameful on this.. we support for wrestlers.
466,Shame on Delhi Police and our Govt.Extremely shameful and disheartening that we are living in such a country which doesn't know how to respect the sportsmen and particularly women.
467,So painful
468,Country is under dictatorship.fight for justice and respect history...
469,Everyone in the comments is like this is not the way to treat champions of the country so tell me i sthis the way the champions behave .just one thing don't act over half truth or cutout clips of any video
470,RIP Indian democracy and shame on BJP gov.
471,Muje lagta he  indian police and government  se achha Pakistan.... Bharat ajj dikh rhaa he jo medal dhari he uske samne e lukhe police sarkar usse daboch rahi he.... Wah
472,"Shame for the BJP government and police also,,"
473,These type of cases should be treated by special investigation group which are free from government pressure
474,Shame on BJP govt  who supported Brujbhushan singh
475,Well they are talking about love jihaad but not even giving right to girls to prostest against sexual harassment such a shameful government
476,sham on bjp
477,"If tomorrow any tennis player allege sexual harrasment on mahavir phogat then what will he do?
Play on Rakesh dacoit belly"
478,Shame heroine of Dangal
479,Shame on Amir Khan
480,Kbhi vote n dena Modi ko
481,Koi bhi desh apne mahaan khilaadiyo ka itna anaadar nahi karta😢. Andhbhakto ko badhaai is  kaam ke liye😢.
482,Shame on them cops
483,Very sad to see all this thing😢
484,और दियह भोट् मोदिया के। 😂
485,Shame shame
486,BJP murdabad
487,😂😂😂👌🏼👌🏼👌🏼👌🏼👌🏼
488,Why can't they believe supreme court ...
489,Ye politics ke sataye hue log hi baad mai ATANKBADI BANTEY H
490,Dictatorship of bjp
491,🇮🇳🇮🇳😞😞😢😢😢
492,Wse to 1 wrestler itne police walo k control me nhi aa rhi n wse 1 aadmi ne in sabka rape kr diya
493,Feeling bad for people asking for proof. Ask proof to your mother if your father is your biological father or not.
494,Shame on government
495,Ensaf hona chahiye sister log k sath
496,No rajneeti
497,"Narendra modi jindabad tha, hain aur rahega😂😂🤣BS"
498,Pls give justice 🙏
499,"भारत सरकार को हमारे देश की आन मान शान पहलवानों की मांगों को पूरा करना चाहिए। वे देश को गोल्ड मेडल जीतकर लाती है। हमारे देश का नाम रोशन करते-करती है। वे हमारे देश की शान उनके साथ इतनी वेहुदी नहीं करनी चाहिए थी। ,😡😡😡"
500,BJP is good only in useless religious politics. No improvement in the quality of life of a common man.
501,"शांतिप्रिय कोम ने एक और शांतिप्रिय काम किया है 😢😢
और लड़कियां कहती हैं की मेरा अब्दुल ऐसा नही है 😓😓😓 
वक्त है अभी भी जागने का। 
और वाह दिल्ली वालो क्या तमाशा देख रहे हो क्योंकि तुम्हारे घर में नहीं हुआ ना ये सब 😡😡😡😡😡
गर्व है मुझे योगी जी पर की वहा पर ऐसा हुआ होता तो अब तक गोली मार दी होती।"
502,Same on Indian government modi Sala
503,"Delhi ka CM kaha haa abhi, chunab ke phele too media samne akhe botle haa kii vote dee doo abhi kya haa kyu kuch nehi bol raha😢😢"
504,Ye bjp haa bhai logo yha sab kuch jaij haa galat ho ya sahi
505,Modi sucks
506,Galat aadhmi se panga le liya. Ab saro jail me😂
507,Instead of getting justice they are making them suffer from more pain
508,Toda toh respect kardo
509,Our country has provided that it is going to became Vishwaguruu through this curriculum which prevents p
510,"Abe wrestler ho toh kya sale kuch bhi karoge No enter Zone mein protest karoge chutiyapa ka bhi haad hota hai, India gate hai, bhaut sari public area hai tum log Ab medal kyn nhi fank rahe ho, BC Faltu ka Darma, Ab kal ko BC gun leke chalane lag jao ge aur chahte ho Police kuch na kare, Rules and regulations bhi hote hai sala ajeeb chutiya log hai. Jab harassed hue tab nhi bola gaya, 5-6 mahine baad yaad aya ? Bhai sab dikh raha hai Politics hai ye sab.

Edit: Parliament is not allowed for normal people to enter only authorised people can enter, and I can't believe in comments section people are so Illiterate they're actually supporting this bullishit, police should have arrested them."
511,Shame on govt.
512,The whole world is watching
513,Wrestlers protesting for one month. Govt is mute spectator.
514,"Exactly bhai, they're entering a place where normal people are not allowed, and so many illiterate people are supporting this bullishit."
515,ये पहलवानों के साथ ये  कैसा  व्यवहार किया जा रहा है  ये सही नहीं है जोर-जबरदस्ती  धरना प्रदर्शन शांति पूर्ण है तो  ये ठीक नहीं किया जा रहा उनकों न्याय मिलना चाहिए
516,If the law minister is easily replaced then why not him?? Government must explained
517,Fake dharna
518,Court apne hisab se chalege
519,BJP hatau beti bachao
520,V gud
521,Desh ka MAN BADHANE VALE SPORTSMAN'S KE SATH AAISA KARNA BAHUT KYADA DUKHD AUR GALAT HAI VO DESH KE LIYE MEDAL LATE HAI BAHUT KUCH SACRIFICE KARTE HAI UNKE SATH AAISA BARTAV KARNA BAHUT GALAT HAI🤬🤬🤬🤬😡😡😡😡😡😡😡😡😡😡😡
522,Wild animals. India looks like a zoo
523,this country is fucked by politicians
524,This is reality of bjp😡😡😡😡😡
525,Corrupted India since 1947..
526,Wwe commentators: watch out watch out watch out
527,Chutiya sehar ki chutiya public kabhi metro me to kabhi kahi lekin fir bhi unhe koi matlab nhi sala isse to accha mera village hai❤❤
528,Shaheen bagh 2.0
529,This is absolutely shameless and heartbreaking! Shame on you who ordered this shit!
530,Pucho is se isko Keya chahiye mahamari faili padi hai Keya hasil karna chahti hai kisi ko kuch nahi hasil Ak 🔱
531,Such incidents never happened back in 1990s or 2000s...I don't know what changed..
532,"Isliye talented log india chhod jaa rhe hai kuonki indua ko talent ki kadar nahi
Bitter truth😢😢😢😢"
533,"Shame on bjp rapist kahi ke😠😠😠
Aur do bjp ko votes dekhte dekhte te poora desh apni yaar ambani ko bech dega"
534,Shame on Delhi police n BJP Govt.
535,Shame on government. 😢
536,Ab koi nhi bolega  proud Indian 🥺
537,PM Modi should be ashamed of himself.
538,Hopeless thing ....hopeless Government
539,Ye police ayse q kar rhi h
540,Wrestking match
541,KAHAN HAI AMIR KHAN .KAHAN HAI SACHIN .KAHAN HAI AMITAB BACHAN ..KAHAN HAI AKSHAY KUMAR..KAHAN HAI SAB ..SUPERSTAR .
542,"They need justices
Beacuse they are proud of India"
543,Brij bhushan punda mavan💩sangis thayolis💩
544,This is the 'Ache Din'...
545,"What happened, anyone explain"
546,"In upcoming days uneducated politicians will dominate the educated talents,that is about very sad for us. This type of politicians are like big loopholes in country's development. I don't know when our country will get rid of these kind of problems that is going up day by day."
547,"Agar koi minister protest krta, kya usko kabhi aise utha kar le jate, shame on authorities"
548,Do not cast vote on modi gov & bjp
549,BJP government is not good 🤔🤔🤔
550,😢😢
551,"This is more like an arrest than detaintion. This is manhandling. 
How shameful of the authorities? These wrestlers were the ones who brought fame to the country once upon a time. 
Will they treat ST and MSD in the same way if they seek justice in the future?"
552,Please hamare wrestlers ka sath do
553,End of the day modi ji save he's guy by any means necessary and you fool vote him again and again 🤮
554,😂😂😂🎉
555,Bjp is the problem.
556,Bahoot ho gaya abb Saha nai jata government agar Aisa kar skti hai to BC nahi chiye aisi government 😡😡😡
557,"Where is democracy in India?
I can't see it.
Is it just on papers?
Ladies and gentlemen who has brought laurels to the country are being mistreated like this.
World is witnessing this disaster happening in so called ""mother democracy India""."
558,Shame on india
559,Shame for the country how the wrestlers are being treated
560,If we they don't get justice than we as a nation will loose the right to dream for medals and achievements in other sports except for cricket. Got goosebumps seeing how they're treated..!
561,BJP harao desh bachao
562,I don't know what is going on but it's not looking good 😢 treating our stars lika a dog it's really sad 😔
563,They brought Gold Medal to our country. pride for India .
564,Modi government Failed. Worst Ruling.
565,Sharm aani chahie police ko goverment ko
566,These players should be banned forever.
567,police power
568,Where's kusuboooooo
569,Chuthyaa politics
570,So shame for India wrestlers treated like this .... wrestlers represent our India and the government is busy in the inauguration of unnecessary development 😔
571,Can i know what actually happend and why these cops are doing this to the women?
572,SHARAM AATI HAI MUJEH THAT I HAVE TO SEE THIS INDIA IS DESTROYED BY BJP PARTY
573,"Pahle Indian Army in pulwama and now National Players of india
Where is Modi now make movie on this issue BJP story for sexual assault"
574,ye mila medal jitne ka tohfa
575,"Iss... desh me ab kuch nhi bacha h..
Shame on government and police😢"
576,Fuduu kanon aa india modi raj aa gunda raj
577,This is so wrong happening to them !!
578,It's time to stand against BJP.. those who agree can like the comment❤
579,Same on you PM & Indian Government .
580,Fake propaganda
581,Bahut galat hai modi jee sare achhaye ab kharab ho gaye
582,Sickening condition of a democratic country
583,Proud to be Indian 😢
584,😢😢
585,Itni Sena Desh wasiyon pe zulm kar rahi hai aur phir bhi India sirf dekh Raha hai ....
586,Modi yogi
587,"Study karoge to Noukri Khatreme 
Achaa kuch karoge to life khatreme 
Phir bhi dil hai Hindustani 
Phir bhi Dil hai Hindustani"
588,"This Protest will sooon be hijacked by Communists and Islamists in coming days to spread Riots and Violence, Mark my Comment."
589,Ye insan hain ya janwar...humare champions ki itni durdasha..pm modi abhi kr kya raha hain
590,Narendra Modi sarm kro
591,"ये देखकर खून खौल उठता है 😢😢
मोदी जी की जुबान टूट गई हैं
अब उन्हें देश की बेटियां नही दिख रही है।
बृज भूषण को फांसी दो।"
592,Will Supreme Court take action against Delhi Police
593,"SAB LOG DEKHO AUR SIKHO....
AB NARENDRA MODI KO BHAGAO"
594,Naya BHARAT
595,Shame on this government
596,Shame
597,"INDIA Ke asse growth hogi tho naa  he ho,ladkiyo keliye kaha par bhee rahana easy nahi he.shame on Indian goverment."
598,Shame on Modi government.please save our daughter from BJP rapists 😭😭😭.
599,Respect champions 🙏🙏 don't do like this shame on you  BJP GOVERNMENT 😢
600,how should one be detained .. when they don't listen
601,is this another north korea ??
602,Badhya natak chal raha hai.
603,Media is also for nothing and police too I can see from this video nowadays. If they are for something they would help them not like making a video .
604,These police are shit . They are only for money if this could happen with them and there family member then they would release from which they girls are going through . They are doing to safe their job but the police and other people can't see that there is one person in the world who is seeing them that is GOD . And I pray to god please give the punishment that no one can expect. How could a police can do this I can't even imagine. This is kaliyug where no one is helping anyone
605,Kl ko inke sath ek photo k liye line mei khade hote the aj Inka saath aesa ho Raha hai bhot afsos hora hai
606,Bjp sarkar nikalo
607,Kha gya mere desh ka issjat samra  kro
608,"Inhumane police 🚨🚓....
Literally our education system is fucked"
609,Waah Modiji waah
610,Shame on Delhi Police!
611,"When Investigation is already going on with Delhi Police, why these people doing this kind of activities. To Defame country or Personal Agenda?"
612,"😠😠😠so how treat a sportsman, they fight for our country they struggle for our country, maidan main khun pasina ek krte hai 
So this is india"
613,"Chalo agar wo naye president ki hi mang kar rhe hai to kya ho gya wo insaan to waise bhi pad par hai na to kyo ni Maan li jaati inki mange jinhone duniya me India ka Maan badaya hai unke liye goverment itna bhi ni kar skti kya 
Same on you bjp goverment"
614,Chootiya bjp sarkar
615,Wow India at it's finest 👏 👌
616,Very shamefull
617,SHAMEFUL 😢
618,Bahoot he shark nak haii
619,Shame on bjp
620,Bjp hato desh bachao
621,"I condemned delhi police for disrespecting our sportsmens..it is rediculius I pray god to bring justice as soon as possible..and give courage and supports from,all over the world to these champions.."
622,Shame of Indian police
623,"Shame on this ruthless Govt, which claims to be the sole saviour of girls"
624,This is literally shameful for a country..
625,aur do bjp ko andhbhakt jaise votes
626,BJP will pay for this in upcoming election
627,Badly impacting BJP and Narendra modi image
628,Shame on bjp government
629,Fall of  BJP
630,Applause....This is our great India...
631,Wrestler ho do char ko uthake patak dete
632,"https://youtu.be/7EPkPn6XUM
Facts of wrestlers protest"
633,"ye wrestler backcodi kar rahe hai, mar ke bhagao, apko ijjat hai to rule follow karo, agar cour ne kaha hai tume hatene ko to hato, sab huha Modi se hua ab ye mat kahana Sexual harrasment bhi Modi ne ki, yar kuch to logic se loo. Court hai yaha kyu rasto pe bachodi kar rahe ho."
634,Shame shame on sarkaar and dhili police
635,"Media should tell all truth its done by SC order, Sc told to remove them"
636,"WAH MODI JI WAH
WAH
WAAAAHHHH"
637,chiii 😢 aasa kon karta hai bhai kise k sath
638,Saala Inn police waalon se chorr teekh se pakda nhi jaata Aam aadmi  jo mehnat karr ke khaate hai unn loggon ka uper Aatyachaar karte hai sabko naukaari se nikalna chayiha 😡😡😡
639,😢😢😢
640,"BJP hai to mumkin hai

Ab andhbhkat ni nahi dikhege door door"
641,Thankyou for all the Real men who understand and stand with women. We are very sorry to whatever is happened for you Champions. One day this earth and nature will pay them back for what they are doing for us.
642,When modi is in rule no sports ll be valued
643,I feel shame to born as a Girl here. If you don't give respect for girls means you are not giving respect to all female gods which you people worship everyday.
644,Even the God for which you did Pooja in new parliment will not forgive for this. Karma will be boomerang. Please Remember that.
645,Jisne desh k liye medals laaye unke saath aisa horaha h ..hamare saath kya hoga😢😢😢😢😢
646,"लगेगी आग तो आएंगे घर कई जद में
यहां पे सिर्फ़ हमारा ही मकान थोड़ी है l
#बबीता फोगाट#विनेश फोगाट#शाहीन बाग#CAA#NRC"
647,Really shame on this😭
648,It's a shame
649,SHAME
650,"fck the hill in my country , how i supposed to do for this ,,"
651,Modi sahab ki kripa anant hai bhaioooo gujrati ko sirf paise se matlab hai itihas uthalo military mein kitne percent hai yeh log ... Ek gujrati ko shaheed kaum ke siro per bitha diya bc
652,Shame on Delhi police and BJP government!
653,@Haseena sabreen Mahammad Well said
654,"On the screen  wrestlers , behind the screen many innocent people r struggling. They  always make hindu muslim difference , No development , cruelty in ruling , they create fights..., We need peaceful government .Every individual in our country should fight for good and peaceful govt, Righteous gov."
655,I stand with wrestler ❤❤
656,It's so disheartening to see. Other countries respect their athletes and our country only care about hindu muslim rivalry. I bet if modiji could do something for the athlete more indians will start loving him. How can someone treat the medal winners like this. People outside India would feel disgusted if they see what our country is doing. I request to people of india to support our athletes just like the same way you all were fighting for hindu muslim
657,What a shameful image this..... Govt what are you doing...???
658,"Shameful for our beloved country






Desh ki rapist ke support kore, shame the gov, bjp gov"
659,"Neither bjp supporter nor Congress supporters brij bhushan has 38 charges against him intimating, kidnapping, attempt to murder etc and if he is able to get free from this many charges bjp is supporting & protecting him hard . If wrestlers do FIR what's going to happen when even after 38 charges he is out of jail , if protest this going to happen bro literally this country either see bjp rule or Congress rule nothing else at least keep some dignity in fakness also each political party"
660,Next year election me dikhayege iss BJP.
661,Shame on Modi Government. Shame on Amit Shah and his Police.
662,"Ben ka loda modi kaha gaya , ab kaha h yogi ka buldozer kanoon sirf gareebo k liye h kya"
663,Really pathetic to see the treatment being meted out to our sports personalities
664,We don't deserve medals
665,Gajab drama
666,"Nobody is seeing how the so called champions are behaving.. police just doing their duty, noting else. don't make unecessary publicity."
667,Desh k liye gold lane walo ka ye hal very bad politics
668,😢😢
669,So bad....... disappointed a lot....
670,Shame on indian government ye bhi kse ke batiya hai is country se belong kerna hi crime hai
671,"Indian government should take strict actions against the sinner and support our wrestlers. This is shameful, awful and just not accepted. Punish the sinner. What is our government doing?"
672,We don't need new parliament when it's can't bring justice in our country there is no need of this only need of change pm
673,😂😂😂
674,Where Is our pm does he only how to build mandir for hindu votes
675,Gold Medalist k saath aisa salook 😢 yehi ijjat milni thi to kyu laye Gold India k liye 😭
